horizon_name,horizon_steps,horizon_seconds,split,sensor,mae_raw,mae_scaled,n_windows
120s,1200,120.0,val,Pressure_1,1.0637213450119685,1.0057534752259398,255150
120s,1200,120.0,val,Pressure_2,1.130383328315245,1.051135953012516,255150
120s,1200,120.0,val,Temperature_1,38.99161034481698,1.07254157880705,255150
120s,1200,120.0,val,Temperature_2,36.70497811582561,1.0059276596104236,255150
120s,1200,120.0,val,ALL_MEAN,70.80641496214116,1.0361466982864955,255150
120s,1200,120.0,test,Accelerometer,0.0352898330901099,1.0703708856025254,255150
120s,1200,120.0,test,GasLeak,343.4570125491991,1.0200254124695496,255150
120s,1200,120.0,test,Pressure_1,1.102008273567589,1.0419539441091772,255150
120s,1200,120.0,test,Pressure_2,1.1349353352053548,1.055368834001381,255150
120s,1200,120.0,test,Temperature_1,37.38810133939783,1.028433883200367,255150
120s,1200,120.0,test,Temperature_2,37.22700633430617,1.0202342373833255,255150
120s,1200,120.0,test,ALL_MEAN,70.05739227746103,1.039397866127721,255150
9s,90,9.0,test,Accelerometer,0.0033698848974864,0.1022114973706708,421650
9s,90,9.0,test,GasLeak,33.47113903136255,0.0994051981728007,421650
9s,90,9.0,test,Pressure_1,0.1105763101645363,0.1045504151506826,421650
9s,90,9.0,test,Pressure_2,0.1090823749774434,0.1014349763541513,421650
9s,90,9.0,test,Temperature_1,3.7294371382386977,0.1025855654828035,421650
9s,90,9.0,test,Temperature_2,3.75977290454368,0.1030394173400595,421650
9s,90,9.0,test,ALL_MEAN,6.863896274030732,0.1022045116451947,421650
9s,90,9.0,train,Accelerometer,0.0033606666396569,0.1019318997094555,1967700
9s,90,9.0,train,GasLeak,33.40958826024125,0.0992223998941024,1967700
9s,90,9.0,train,Pressure_1,0.1087238973115271,0.1027989501892963,1967700
9s,90,9.0,train,Pressure_2,0.1087085860439718,0.1010873925062933,1967700
9s,90,9.0,train,Temperature_1,3.741924569562337,0.1029290570490318,1967700
9s,90,9.0,train,Temperature_2,3.746814231357253,0.1026842751097891,1967700
9s,90,9.0,train,ALL_MEAN,6.853186701859333,0.1017756624096614,1967700
9s,90,9.0,val,Accelerometer,0.003395365551347,0.1029843474424972,421650
9s,90,9.0,val,GasLeak,33.86695863232056,0.1005807340826196,421650
9s,90,9.0,val,Pressure_1,0.108088488040002,0.1021981677700811,421650
9s,90,9.0,val,Pressure_2,0.1095230768567997,0.1018447821061893,421650
9s,90,9.0,val,Temperature_1,3.741740389859,0.1029239908209879,421650
9s,90,9.0,val,Temperature_2,3.773472487275028,0.103414864756241,421650
9s,90,9.0,val,ALL_MEAN,6.933863073317124,0.1023244811631027,421650
