baseline,horizon_name,horizon_steps,horizon_seconds,split,sensor,mae_raw,mae_scaled,n_windows
last_value,60s,600,60.0,train,ALL_MEAN,35.31301628168995,0.5308741005216157,1610700
last_value,60s,600,60.0,val,Accelerometer,0.017907224827121482,0.5431414778286737,345150
last_value,60s,600,60.0,val,GasLeak,178.95582598838357,0.5314769637771822,345150
last_value,60s,600,60.0,val,Pressure_1,0.5535147106868528,0.5233507313475217,345150
last_value,60s,600,60.0,val,Pressure_2,0.5807718415429054,0.5400558800286787,345150
last_value,60s,600,60.0,val,Temperature_1,19.927360648589037,0.5481415787264655,345150
last_value,60s,600,60.0,val,Temperature_2,19.082744976126996,0.5229770450265318,345150
last_value,60s,600,60.0,val,ALL_MEAN,36.51968756502608,0.5348572794558423,345150
last_value,60s,600,60.0,test,Accelerometer,0.01806726658562396,0.5479956815406681,345150
last_value,60s,600,60.0,test,GasLeak,176.06695249935663,0.5228973620670704,345150
last_value,60s,600,60.0,test,Pressure_1,0.5735426441063833,0.5422872354731015,345150
last_value,60s,600,60.0,test,Pressure_2,0.583982012769639,0.5430409969418718,345150
last_value,60s,600,60.0,test,Temperature_1,19.269039642980207,0.5300331537480293,345150
last_value,60s,600,60.0,test,Temperature_2,19.289521273302878,0.5286439056911717,345150
last_value,60s,600,60.0,test,ALL_MEAN,35.96685088985023,0.5358163892436522,345150
last_value,120s,1200,120.0,train,Accelerometer,0.03412074652287081,1.0349114879588326,1190700
last_value,120s,1200,120.0,train,GasLeak,331.5566092731202,0.9846826670408259,1190700
last_value,120s,1200,120.0,train,Pressure_1,1.1165086136661773,1.0556640830609818,1190700
last_value,120s,1200,120.0,train,Pressure_2,1.1028158052006807,1.0255010962737774,1190700
last_value,120s,1200,120.0,train,Temperature_1,37.76218035654057,1.0387236685182013,1190700
last_value,120s,1200,120.0,train,Temperature_2,37.254072064352144,1.020975994166151,1190700
last_value,120s,1200,120.0,train,ALL_MEAN,68.13771780990045,1.0267431661697952,1190700
last_value,120s,1200,120.0,val,Accelerometer,0.0346588240425486,1.0512318403331187,255150
last_value,120s,1200,120.0,val,GasLeak,346.9131378148346,1.0302896827299255,255150
last_value,120s,1200,120.0,val,Pressure_1,1.0637213450119685,1.0057534752259398,255150
last_value,120s,1200,120.0,val,Pressure_2,1.130383328315245,1.051135953012516,255150
last_value,120s,1200,120.0,val,Temperature_1,38.99161034481698,1.07254157880705,255150
last_value,120s,1200,120.0,val,Temperature_2,36.70497811582561,1.0059276596104236,255150
last_value,120s,1200,120.0,val,ALL_MEAN,70.80641496214116,1.0361466982864955,255150
last_value,120s,1200,120.0,test,Accelerometer,0.03528983309010992,1.0703708856025254,255150
last_value,120s,1200,120.0,test,GasLeak,343.4570125491991,1.0200254124695496,255150
last_value,120s,1200,120.0,test,Pressure_1,1.1020082735675887,1.0419539441091772,255150
last_value,120s,1200,120.0,test,Pressure_2,1.1349353352053548,1.055368834001381,255150
last_value,120s,1200,120.0,test,Temperature_1,37.38810133939783,1.028433883200367,255150
last_value,120s,1200,120.0,test,Temperature_2,37.22700633430617,1.0202342373833257,255150
last_value,120s,1200,120.0,test,ALL_MEAN,70.05739227746103,1.039397866127721,255150
